"Date of data","Trading partner code","Trading partner","Commodity code","Commodity","Customs Regime code","Customs Regime","Quantity","Unit","Supplimentary Quantity","Supplimentary Unit","US dollar",
"201806","204","Botswana","71023100","Diamonds non-industrial unworked or simply sawn, cleaved or bruted","14","Processing and Assembling","891","Carat","0","-","507,713",
"201806","204","Botswana","97050000","Collectn of zoo/bot/mineral/hist/anatom/archaeo/palaeont/ethno etc","39","Other","50","Kilogram","0","-","547",
"201806","204","Botswana","98040000","Articles of low value in simplified customs procedures","39","Other","32","Kilogram","0","-","1,072",
